impulse index,flip angle,pose number,hole number,read stepper y offset,read colibri z offset,start time ms,valve close time ms,capture end time ms,arduino valve open duration ms,target regulator pressure,average actual regulator pressure,average pressure before valve,average force reading,average force 1,average force 2,maximum flow,volume l,nozzle 1 used,nozzle 2 used,nozzle 3 used,nozzle 4 used,valve open sample count,pressure sample count,flow sample count,force baseline n,force baseline standard deviation n,peak force n,time to peak ms,force rise 10-90 ms,force fall 90-10 ms,force fwhm ms,force impulse ns,force plateau mean n,force plateau standard deviation n,actual minus target pressure bar,peak force per actual pressure n per bar,force 1 share percent,force 2 share percent
79,-1,6,1,-1,-1,278065.000,278166.000,278664.992,99.992,3.000,3.011,1.515,0.5262,0.3092,0.2170,190.620,0.541158,1,1,1,1,20,18,100,0.001061,0.000399,0.750536,67.451,10.311,88.183,99.054,0.067610,0.651861,0.054626,0.016000,0.248851,56.523,43.477
80,-1,6,1,-1,-1,280065.000,280167.000,280664.988,99.988,3.000,3.010,1.509,0.5254,0.3091,0.2163,190.620,0.540832,1,1,1,1,20,18,100,0.000922,0.000382,0.755275,66.672,11.290,88.123,99.098,0.069013,0.650035,0.055369,0.016667,0.250367,56.619,43.381
81,-1,6,1,-1,-1,287065.000,287166.000,287664.988,99.988,3.100,3.128,1.580,0.5510,0.3223,0.2287,190.860,0.546875,1,1,1,1,20,18,100,0.001158,0.000369,0.796164,69.312,11.757,88.153,99.178,0.071238,0.686988,0.057344,0.045455,0.253116,56.189,43.811
82,-1,6,1,-1,-1,289065.000,289167.000,289664.996,99.996,3.100,3.132,1.577,0.5516,0.3218,0.2298,190.370,0.547791,1,1,1,1,20,18,100,0.000976,0.000485,0.789626,67.259,10.739,87.884,98.848,0.070796,0.684977,0.054359,0.037000,0.251714,56.272,43.728
83,-1,6,1,-1,-1,291065.000,291167.000,291665.008,100.008,3.100,3.132,1.573,0.5488,0.3205,0.2283,190.620,0.547520,1,1,1,1,20,18,100,0.001044,0.000494,0.791625,69.048,11.063,88.007,99.008,0.071020,0.687718,0.059014,0.036500,0.252391,56.086,43.914
84,-1,6,1,-1,-1,293065.000,293167.000,293665.008,100.008,3.100,3.127,1.571,0.5488,0.3206,0.2281,190.620,0.548518,1,1,1,1,20,18,100,0.001040,0.000311,0.790313,60.571,10.879,88.362,98.981,0.070577,0.677769,0.053086,0.033182,0.252240,56.576,43.424
85,-1,6,1,-1,-1,295065.000,295166.000,295664.996,99.996,3.100,3.125,1.552,0.5435,0.3177,0.2257,190.620,0.547532,1,1,1,1,20,18,100,0.001034,0.000441,0.790997,69.083,10.879,88.093,98.920,0.071672,0.683163,0.057118,0.030000,0.252715,56.083,43.917
86,-1,6,1,-1,-1,302065.000,302167.000,302664.988,99.988,3.200,3.249,1.631,0.5714,0.3318,0.2396,190.620,0.553212,1,1,1,1,20,18,100,0.001010,0.000280,0.832816,68.926,11.064,88.068,98.932,0.074530,0.720464,0.061466,0.061667,0.255335,55.805,44.195
87,-1,6,1,-1,-1,304065.000,304166.000,304665.000,100.000,3.200,3.239,1.623,0.5718,0.3317,0.2401,190.620,0.552948,1,1,1,1,20,18,100,0.001109,0.000530,0.827344,67.119,11.007,87.824,98.983,0.074122,0.716263,0.057805,0.044500,0.254999,55.849,44.151
88,-1,6,1,-1,-1,306065.000,306166.000,306664.980,99.980,3.200,3.241,1.634,0.5741,0.3327,0.2413,190.620,0.553173,1,1,1,1,20,18,100,0.001081,0.000447,0.830727,68.747,10.758,88.370,98.826,0.074046,0.720457,0.058219,0.045000,0.256002,55.762,44.238
89,-1,6,1,-1,-1,308065.000,308166.000,308664.988,99.988,3.200,3.237,1.618,0.5725,0.3329,0.2396,190.620,0.553593,1,1,1,1,20,18,100,0.000957,0.000396,0.835244,65.621,11.833,88.254,99.192,0.074621,0.716069,0.058378,0.042381,0.257602,55.879,44.121
90,-1,6,1,-1,-1,310065.000,310166.000,310664.996,99.996,3.200,3.242,1.633,0.5764,0.3339,0.2425,190.620,0.555088,1,1,1,1,20,18,100,0.001182,0.000406,0.839775,69.291,10.881,88.274,98.662,0.074766,0.719794,0.061294,0.047500,0.258591,55.689,44.311
91,-1,6,1,-1,-1,317065.000,317166.000,317664.992,99.992,3.300,3.353,1.695,0.5847,0.3374,0.2473,190.370,0.557014,1,1,1,1,20,18,100,0.000992,0.000567,0.864316,68.980,10.637,87.847,98.989,0.077422,0.750756,0.060973,0.091667,0.254835,55.513,44.487
92,-1,6,1,-1,-1,319065.000,319166.000,319664.992,99.992,3.300,3.346,1.675,0.5942,0.3435,0.2507,190.620,0.557909,1,1,1,1,20,18,100,0.000969,0.000494,0.868246,67.101,11.774,88.013,99.043,0.077531,0.750632,0.061865,0.052381,0.258994,55.613,44.387
93,-1,6,1,-1,-1,321065.000,321167.000,321664.992,99.992,3.300,3.352,1.682,0.5839,0.3365,0.2473,190.620,0.559627,1,1,1,1,20,18,100,0.001085,0.000401,0.864839,68.663,10.564,88.139,98.819,0.077091,0.752583,0.057126,0.057500,0.257584,55.372,44.628
